date,card1,card2,card3,card4,picked_card,unpicked_card1,unpicked_card2
2017-05-27 12:50:00,Reaver Hunter,Clan Tordarroch Shieldsmith,Wyvern,Clan An Craite Warcrier,Vrihedd Vanguard*,War Longship,Mardroeme
2017-05-27 12:48:54,Fire Scorpion,Clan Heymaey Skald,Hawker Healer,Foglet,Clan an Craite Raider,Harpy,Temerian Infantryman
2017-05-27 12:47:25,First Light*,Redanian Elite,Clan An Craite Warrior,Wild Hunt Rider,Daerlan Foot Soldiers,Wild Hunt Hound,Dun Banner Light Cavalry
2017-05-27 12:46:07,Bloodcurdling Roar,Vrihedd Officer,Quen Sign,Impenetrable Fog,Emissary,Wild Hunt Navigator,Vrihedd Vanguard
2017-05-27 12:45:00,Dol Blathanna Archer,Dwarven Skirmisher,Thunderbolt Potion,Biting Frost,Harpy*,Nauzicaa Standard Bearer,Dol Blathanna Protector
2017-05-27 12:21:48,Clan Dimun Pirate,Reaver Hunter,Wild Hunt Rider,Kaedweni Sergeant,Fake Ciri,Sheldon Skaggs,Nithral
2017-05-27 12:19:36,Wild Hunt Rider,Clan Tordarroch Armorsmith,Nauzicaa Brigade,Fire Scorpion,Reinforced Siege Tower,Queensguard,Elven Mercenary
2017-05-27 12:18:04,Archgriffin,Dimeritium Shackles,Alchemist,Fire Scorpion,Nekker Warrior,Queensguard,Stammelford’s Tremors
2017-05-27 12:16:31,Quen Sign,Wild Hunt Rider,Nauzicaa Brigade,Archgriffin,Queensguard,Vrihedd Vanguard,Stammelford’s Tremors
2017-05-27 12:14:51,Nilfgaardian Knight,Light Longship,Tridam Infantryman,Clan Dimun Pirate,Queensguard,Ancient Foglet,Dun Banner Light Cavalry
2017-05-27 12:13:17,Impenetrable Fog,Commando Neophyte,Ambassador,Chort,Vran Warrior,Blue Stripes Commando,Clan Drummond Shieldmaiden
2017-05-27 12:11:43,Celaeno Harpy,Clan Dimun Pirate,Wild Hunt Warrior,Impenetrable Fog,Spotter,War Longship,Aretuza Adept
2017-05-26 23:28:13,Reinforced Trebuchet,Griffin,Impenetrable Fog*,Rot Tosser,Elven Mercenary,Clan Brokvar Hunter,Blue Stripes Commando
2017-05-26 23:24:46,Arachas Venom,Dwarven Skirmisher,Tridam Infantryman,Wyvern,Overdose*,Ekimmara,Daerlan Foot Soldiers
2017-05-26 23:22:23,Kaedweni Siege Platform,Archgriffin,Griffin,Trebuchet,Daerlan Foot Soldiers,Mardroeme,Dun Banner Heavy Cavalry
2017-05-26 23:20:53,Mangonel,Field Medic,Kaedweni Siege Platform,Archgriffin,Jotunn,Nenneke,Malena
2017-05-26 23:17:22,First Light,Clan Tuirseach Skirmishers,Blue Stripes Scout,Clan Brokvar Archer,Alba Pikeman,Harpy,Clan Drummond Shieldmaiden
2017-05-26 23:14:46,Mangonel,Mahakam Guard,Redanian Knight,Wild Hunt Rider,Vrihedd Sappers,Aretuza Adept,Nauzicaa Standard Bearer
2017-05-26 22:34:11,Rot Tosser,Ballista,Celaeno Harpy,Dol Blathanna Archer,Priestess of Freya,Vicovaro Medic,Dol Blathanna Protector
