date,patch,prestige,keg_type,event,card1,card2,card3,card4,picked_card,unpicked_card1,unpicked_card2
2020-08-16 10:49:49,7.1.0.108_7102,1,syndicate,,Eventide Plunder,Payroll Specialist,Payday,Eavesdrop,Nathaniel Pastodi,Wheel of Fortune,Hammond
2020-08-16 10:49:20,7.1.0.108_7102,1,syndicate,,Kikimore Warrior,Casino Bouncers,Passiflora Peaches,Mutant,Witch Hunter,Street Urchins,Halfling Safecracker
2020-08-16 10:48:34,7.1.0.108_7102,1,syndicate,,Back-Alley Chemist,Mutants Maker,Cutup Lackey,Witch Hunter,Kikimore Warrior,Oxenfurt Naturalist,Eventide Plunder
2020-08-16 10:44:49,7.1.0.108_7102,1,syndicate,,Keeper of the Flame,Coerced Blacksmith,Fallen Knight,Mutant,Sewer Raiders,Witch Hunter,Tax Collector
2020-08-16 10:44:22,7.1.0.108_7102,1,syndicate,,Crownsplitter Thug,Cutup Lackey,Wretched Addict,Salamandra Assassin,Assault,Witch Hunter Executioner,Sly Seductress
2020-08-16 10:43:49,7.1.0.108_7102,1,syndicate,,Sewer Raiders,Slander,Passiflora Peaches,Swindle,Kikimore Warrior,Blindeye Apothecary,Tax Collector
2020-08-16 10:43:24,7.1.0.108_7102,1,syndicate,,Eternal Fire Priest*,Passiflora Peaches,Firesworn Scribe,Fisstech,Arena Ghoul,Eventide Plunder,Witch Hunter Executioner
2020-08-16 10:42:52,7.1.0.108_7102,1,syndicate,,Bare-Knuckle Brawler,Blindeye Apothecary,Fallen Knight,Eavesdrop,Assault,Cleaver's Muscle,Witch Hunter Executioner
2020-08-16 10:42:18,7.1.0.108_7102,1,syndicate,,Bare-Knuckle Brawler,Payroll Specialist,Sir Skewertooth,Cutup Lackey,Sly Seductress,Eventide Plunder,Eternal Fire Priest
2020-08-16 10:41:51,7.1.0.108_7102,1,syndicate,,Kikimore Warrior,Arena Endrega,Line of Credit,Dip in the Pontar,Adriano the Mink,Greater Brothers,Roderick de Wett
2020-08-16 10:41:18,7.1.0.108_7102,1,syndicate,,Eventide Plunder,Slander,Fisstech,Fence,Eternal Fire Disciple,Keeper of the Flame,Sewer Raiders
2020-08-16 10:40:44,7.1.0.108_7102,1,syndicate,,Halfling Safecracker,Bloody Good Fun,Shakedown,Mutant,Tidecloak Hideaway*,Assault,Crownsplitter Thug
2020-08-16 10:39:32,7.1.0.108_7102,1,syndicate,,Sly Seductress,Passiflora Peaches,Bloody Good Fun,Cutup Lackey,Graden,Damnation,Roderick de Wett
2020-08-16 10:38:48,7.1.0.108_7102,1,syndicate,,Bloody Good Friends,Casino Bouncers,Shakedown,Fallen Knight,Mutated Hounds,Eternal Fire Priest,Kikimore Warrior
2020-08-16 10:38:18,7.1.0.108_7102,1,syndicate,,Kikimore Warrior,Line of Credit,Townsfolk,Passiflora Peaches,Crownsplitter Thug,Smuggle,Tidecloak Ransackers
2020-08-16 10:37:42,7.1.0.108_7102,1,syndicate,,Payroll Specialist,Temple Guard,Oxenfurt Naturalist,Fisstech,Crownsplitter Thug,Kikimore Warrior,Tidecloak Hideaway
2020-08-16 10:37:00,7.1.0.108_7102,1,syndicate,,Eventide Plunder,Back-Alley Chemist*,Courier*,Line of Credit,Cleaver's Muscle,Mutated Hounds,Kikimore Warrior
2020-08-16 10:36:01,7.1.0.108_7102,1,base set,,Foglet,Elven Scout,Mahakam Guard,Combat Engineer,Bribery,Dandelion: Vainglory,Kayran
2020-08-16 10:34:10,7.1.0.108_7102,1,base set,,Foglet,Dwarven Mercenary,Dimun Smuggler,Dimun Pirate,Rainfarn of Attre,Manticore Venom,Devana Runestone
2020-08-16 00:06:27,7.1.0.108_7102,1,syndicate,,Payday,Swindle,Eternal Fire Inquisitor,Slander,Tidecloak Hideaway,Renegade Mage,Smuggle
2020-08-16 00:05:53,7.1.0.108_7102,1,syndicate,,Street Urchins,Firesworn Scribe,Sea Jackal,Payday,Cleaver's Muscle*,Arena Ghoul,Tidecloak Ransackers
2020-08-16 00:05:18,7.1.0.108_7102,1,syndicate,,Sewer Raiders,Sea Jackal,Fisstech,Arena Endrega,Bincy Blumerholdt,Ewald Borsodi,Sir Skewertooth
2020-08-16 00:04:45,7.1.0.108_7102,1,syndicate,,Smuggle,Courier,Slander,Congregation,Keeper of the Flame,Kikimore Warrior,Street Urchins
2020-08-16 00:03:59,7.1.0.108_7102,1,syndicate,,Fisstech Trafficker*,Casino Bouncers,Temple Guard,Fisstech,Dire Mutated Hound,Tunnel Drill,Harald Gord
2020-08-16 00:03:20,7.1.0.108_7102,1,syndicate,,Townsfolk,Witch Hunter,Congregation,Payday,Halfling Safecracker,Eternal Fire Priest,Sewer Raiders
2020-08-16 00:02:48,7.1.0.108_7102,1,syndicate,,Tax Collector,Payday,Salamandra Assassin,Mutants Maker,Ferko the Sculptor,Madame Luiza,Collusion
2020-08-16 00:01:16,7.1.0.108_7102,1,syndicate,,Line of Credit,Back-Alley Chemist,Cutup Lackey,Sly Seductress,Bloody Good Friends,Tax Collector,Fisstech Trafficker
2020-08-16 00:00:44,7.1.0.108_7102,1,syndicate,,Cutup Lackey,Townsfolk,Ewald Borsodi,Passiflora Peaches,Eternal Fire Priest,Tax Collector,Arena Ghoul
2020-08-16 00:00:08,7.1.0.108_7102,1,syndicate,,Lonely Champion,Firesworn Scribe,Coerced Blacksmith,Sea Jackal,Kurt,Tavern Brawl,Boris
2020-08-15 23:59:22,7.1.0.108_7102,1,syndicate,,Witch Hunter Executioner,Payday,Fisstech,Arena Endrega,Ludovicus Brunenbaum,Adalbertus Kalkstein,Greater Brothers
2020-08-15 23:58:44,7.1.0.108_7102,1,syndicate,,Assault,Shakedown,Passiflora Peaches,Dip in the Pontar,Smuggle,Tidecloak Ransackers,Witch Hunter
2020-08-15 23:58:06,7.1.0.108_7102,1,syndicate,,Mutated Hounds,Cutup Lackey,Passiflora Peaches,Firesworn Scribe,Keeper of the Flame,Street Urchins,Tax Collector
2020-08-15 23:57:43,7.1.0.108_7102,1,syndicate,,Eternal Fire Priest,Courier,Beggar,Shakedown*,Eternal Fire Disciple,Cleaver's Muscle,Fisstech Trafficker
2020-08-15 23:57:05,7.1.0.108_7102,1,syndicate,,Wretched Addict,Blindeye Apothecary,Payroll Specialist,Beggar,Arena Ghoul,Witch Hunter,Sewer Raiders
2020-08-15 23:56:26,7.1.0.108_7102,1,syndicate,,Coerced Blacksmith,Fisstech Trafficker,Casino Bouncers,Firesworn Scribe,Cleaver's Muscle,Tax Collector,Sly Seductress
2020-08-15 23:55:50,7.1.0.108_7102,1,syndicate,,Witch Hunter,Payday,Wretched Addict,Passiflora Peaches,Arena Ghoul,Eventide Plunder,Lonely Champion
2020-08-15 23:55:12,7.1.0.108_7102,1,syndicate,,Eternal Fire Inquisitor,Line of Credit,Beggar,Payday,Sewer Raiders,Renegade Mage,Kikimore Warrior
2020-08-15 23:54:50,7.1.0.108_7102,1,syndicate,,Eternal Fire Priest,Slander,Mutant,Eavesdrop,Imke,Walter Veritas,Ferko the Sculptor
2020-08-15 23:53:55,7.1.0.108_7102,1,syndicate,,Witch Hunter,Mutants Maker,Beggar,Temple Guard,Eternal Fire Inquisitor,Eternal Fire Disciple,Smuggle
2020-08-15 23:53:23,7.1.0.108_7102,1,syndicate,,Dip in the Pontar,Swindle,Passiflora Peaches,Sly Seductress,Procession of Penance*,Horst Borsodi,Pickpocket
2020-08-15 23:52:25,7.1.0.108_7102,1,syndicate,,Temple Guard,Passiflora Peaches,Tidecloak Hideaway,Payday*,Tidecloak Hideaway,Sly Seductress,Keeper of the Flame
2020-08-15 23:51:49,7.1.0.108_7102,1,syndicate,,Fallen Knight,Fisstech,Fisstech Trafficker,Passiflora Peaches,Bloody Good Friends,Oxenfurt Naturalist,Sewer Raiders
2020-08-15 23:51:12,7.1.0.108_7102,1,syndicate,,Oxenfurt Naturalist,Townsfolk,Shakedown,Swindle,Halfling Safecracker,Eventide Plunder,Sewer Raiders
2020-08-15 23:50:48,7.1.0.108_7102,1,syndicate,,Mutated Hounds,Arena Endrega,Eavesdrop,Bloody Good Fun,Keeper of the Flame,Lonely Champion,Oxenfurt Naturalist
2020-08-15 23:50:14,7.1.0.108_7102,1,syndicate,,Sea Jackal,Slander,Street Urchins,Firesworn Scribe,Smuggle,Cleaver's Muscle,Oxenfurt Naturalist
2020-08-15 23:49:19,7.1.0.108_7102,1,syndicate,,Crownsplitter Thug,Courier,Beggar,Mutant,Cleric of the Flaming Rose,Bloody Good Friends,Sewer Raiders
2020-08-15 23:48:43,7.1.0.108_7102,1,syndicate,,Cleric of the Flaming Rose,Salamandra Assassin,Mutant Killer,Wretched Addict,Bloody Good Friends,Eternal Fire Priest,Keeper of the Flame
2020-08-15 23:47:47,7.1.0.108_7102,1,base set,,Imperial Diplomacy,Mahakam Guard,Cockatrice,Wild Hunt Hound,Kaedweni Revenant,Vicovaro Novice,Dimun Warship
2020-08-15 23:47:16,7.1.0.108_7102,1,base set,,Dol Blathanna Bowman,An Craite Armorsmith,Heymaey Skald,Dol Blathanna Sentry,Bloody Flail,Iris von Everec,Pitfall Trap
2020-08-15 23:46:14,7.1.0.108_7102,1,base set,,Slyzard,Impera Enforcers,Wolf Pack,Scout,Pitfall Trap,Skellige Storm,Ceallach Dyffryn
2020-08-15 23:36:37,7.1.0.108_7102,1,syndicate,,Eventide Plunder,Slander,Line of Credit,Beggar,Cleaver's Muscle,Cleric of the Flaming Rose,Lonely Champion
2020-08-15 23:36:10,7.1.0.108_7102,1,syndicate,,Cleric of the Flaming Rose,Fallen Knight,Salamandra Assassin,Bare-Knuckle Brawler,Sewer Raiders*,Eventide Plunder,Renegade Mage
2020-08-15 23:35:34,7.1.0.108_7102,1,syndicate,,Street Urchins,Shakedown,Wretched Addict,Salamandra Assassin,Roderick de Wett,Horst Borsodi,Rico Meiersdorf
2020-08-15 23:34:24,7.1.0.108_7102,1,syndicate,,Lonely Champion,Line of Credit,Bloody Good Fun,Townsfolk,Eternal Fire Priest,Fisstech Trafficker,Cleric of the Flaming Rose
2020-08-15 23:33:46,7.1.0.108_7102,1,syndicate,,Fisstech Trafficker,Swindle,Slander,Wretched Addict,Eventide Plunder,Blindeye Apothecary,Witch Hunter
2020-08-15 23:33:08,7.1.0.108_7102,1,syndicate,,Oxenfurt Naturalist,Firesworn Scribe,Eavesdrop,Bloody Good Fun,Eternal Fire Disciple,Smuggle,Mutated Hounds
2020-08-15 23:32:36,7.1.0.108_7102,1,syndicate,,Eventide Plunder,Slander,Coerced Blacksmith,Line of Credit,Street Urchins,Fisstech Trafficker,Witch Hunter Executioner
2020-08-15 23:31:56,7.1.0.108_7102,1,syndicate,,Renegade Mage,Fisstech,Mutant Killer,Mutant,Saul de Navarette,Pugo Boom-Breaker,Hvitr and Aelydia
2020-08-15 23:31:00,7.1.0.108_7102,1,syndicate,,Tax Collector*,Cutup Lackey,Courier,Line of Credit,Halfling Safecracker,Tidecloak Ransackers,Cleric of the Flaming Rose
2020-08-15 23:30:25,7.1.0.108_7102,1,syndicate,,Renegade Mage,Arena Endrega,Townsfolk,Payday,Lonely Champion,Witch Hunter Executioner,Crownsplitter Thug
2020-08-15 23:29:47,7.1.0.108_7102,1,syndicate,,Bloody Good Fun,Congregation,Cutup Lackey,Lieutenant Von Herst,Bloody Good Friends*,Tidecloak Hideaway,Street Urchins
2020-08-15 23:28:35,7.1.0.108_7102,1,syndicate,,Cleaver's Muscle,Payroll Specialist,Payday,Fisstech,Tax Collector,Cleric of the Flaming Rose,Witch Hunter Executioner
2020-08-15 23:27:42,7.1.0.108_7102,1,syndicate,,Cleric of the Flaming Rose,Payday,Dip in the Pontar,Salamandra Assassin,Tidecloak Ransackers,Kikimore Warrior,Bloody Good Friends
2020-08-15 23:26:51,7.1.0.108_7102,1,syndicate,,Witch Hunter,Eavesdrop,Line of Credit,Bloody Good Fun,Crownsplitter Thug,Renegade Mage,Sly Seductress
2020-08-15 23:26:09,7.1.0.108_7102,1,syndicate,,Bloody Good Fun,Eavesdrop,Swindle,Walter Veritas,Tunnel Drill,Damnation,Greater Brothers
2020-08-15 23:24:13,7.1.0.108_7102,1,syndicate,,Mutated Hounds,Townsfolk,Swindle,Bare-Knuckle Brawler,Damnation*,Pickpocket,Lieutenant Von Herst
2020-08-15 23:23:19,7.1.0.108_7102,1,syndicate,,Kikimore Warrior,Fence,Back-Alley Chemist,Coerced Blacksmith,Halfling Safecracker,Eventide Plunder,Sly Seductress
2020-08-15 23:08:36,7.1.0.108_7102,1,ultimate premium,,Mage Torturer*,Dryad Ranger*,Vran Warrior*,Bare-Knuckle Brawler*,Squirrel*,Dimun Corsair*,Kaedweni Knight*
2020-08-15 23:06:23,7.1.0.108_7102,1,nilfgaard,,Master of Disguise,Ducal Guard,Tourney Joust,Fangs of the Empire,Assire var Anahid,Imperial Golem,Roderick of Dun Tynne
2020-08-15 23:05:21,7.1.0.108_7102,1,monster,,Feast of Blood,Wild Hunt Warrior,Drowner,Foglet,The Beast,Whispess,Frightener: Dormant
2020-08-15 23:04:20,7.1.0.108_7102,1,base set,,Vrihedd Brigade,Farseer,Ointment,Ban Ard Tutor,Golden Froth,Viper Witcher,Foglet
2020-08-15 23:03:37,7.1.0.108_7102,1,base set,,Slyzard,Spores,Half-Elf Hunter,Siren,Crushing Trap,Cyclops,Aedirnian Mauler
2020-08-15 23:02:54,7.1.0.108_7102,1,base set,,Drummond Queensguard,Ban Ard Tutor,Peasant Militia,Hawker Support,Toad Prince,Carlo Varese,Serpent Trap
2020-08-15 23:01:45,7.1.0.108_7102,1,base set,,Vrihedd Vanguard,Standard Bearer,Blue Mountain Elite,Swallow,Operator,Dennis Cranmer,Dethmold
2020-08-15 23:00:45,7.1.0.108_7102,1,base set,,Slyzard,Brokvar Hunter,Pyrotechnician,Dol Blathanna Archer,Scoia'tael Neophyte,Master of Disguise,Aedirnian Mauler
2020-07-06 15:27:06,7.0.0.99,1,monster,,Griffin,Feast of Blood,Siren,Garkain,Wild Hunt Rider*,Desert Banshee,Cyclops
2020-07-06 15:26:28,7.0.0.99,1,monster,,Forktail,Fleder,Naglfar's Taskmaster,Feast of Blood,Endrega Larva,Maerolorn,Red Riders
2020-07-06 15:25:55,7.0.0.99,1,monster,,Rotfiend,Wild Hunt Hound,Werewolf,Slyzard,Fiend,Fleder,Griffin
2020-07-06 15:25:29,7.0.0.99,1,monster,,Wyvern,Predatory Dive,Kikimore Worker,Naglfar's Crew,She-Troll of Vergen,Imperial Manticore,Nithral
2020-07-06 15:24:50,7.0.0.99,1,monster,,Barghest,Naglfar's Taskmaster,Kikimore Worker,Wild Hunt Warrior,Slyzard,Foglet,Cyclops
2020-07-06 15:24:13,7.0.0.99,1,monster,,Naglfar's Crew,Cockatrice,Arachas Nest,Drowner,Bruxa,Fiend,Maerolorn
2020-07-06 15:23:37,7.0.0.99,1,monster,,Fleder,Arachas Nest,Rotfiend,Werewolf,Bruxa,Foglet,Maerolorn
2020-07-06 15:22:31,7.0.0.99,1,monster,,Red Riders,Kikimore Worker,Wild Hunt Hound,Aen Elle Conqueror,Mourntart*,Frightener: Dormant,Imperial Manticore
2020-07-06 15:21:36,7.0.0.99,1,monster,,Endrega Larva,Rotfiend,Forktail,Aen Elle Conqueror,Barbegazi,Foglet,Nekurat
2020-07-06 15:20:42,7.0.0.99,1,monster,,Desert Banshee,Drowner,Nekker Warrior,Werewolf,Penitent,Imperial Manticore,She-Troll of Vergen
2020-07-06 15:18:55,7.0.0.99,1,monster,,Fiend,Drowner,Predatory Dive,Cockatrice,Nekurat,Hideous Feast,Foglet
2020-07-06 15:18:08,7.0.0.99,1,monster,,Cyclops,Siren,Werewolf,Wild Hunt Warrior,Desert Banshee,Slyzard,Wild Hunt Bruiser
2020-07-06 14:52:21,7.0.0.99,1,base set,,Tuirseach Bearmaster*,An Craite Warcrier,Mangonel*,Standard Bearer,Scoia'tael Neophyte,Griffin,Tuirseach Axeman
2020-07-03 10:44:57,7.0.0.99,1,skellige,,Tuirseach Invader,Drummond Warmonger,Stunning Blow,Dimun Pirate,Dimun Corsair,War of Clans,Terror Crew Plunderer
2020-07-03 10:44:30,7.0.0.99,1,skellige,,Armored Drakkar,Crow's-eye Rhizome,Heymaey Skald,Trophy Catch,Ermion,Vabjorn,Dracoturtle
2020-07-03 10:43:42,7.0.0.99,1,skellige,,Drummond Shieldmaiden,Dimun Smuggler,Drummond Villager,Heymaey Skald,Harald an Craite,Kambi,Hjalmar an Craite
2020-07-03 10:42:58,7.0.0.99,1,skellige,,An Craite Raiders,An Craite Warcrier,Savage Bear,Disgraced Brawler,Svalblod Cultist,Armored Drakkar,War of Clans
2020-07-03 10:42:25,7.0.0.99,1,skellige,,Heymaey Protector,An Craite Armorsmith,Brokvar Hunter,Armored Drakkar*,Terror Crew Plunderer,Drummond Shieldmaiden,An Craite Marauder
2020-07-03 10:41:53,7.0.0.99,1,skellige,,Crow Clan Preacher,Trophy Catch,Terror Crew Axe-wielder,Drummond Warmonger,Svalblod Cultist,Tuirseach Axeman,An Craite Marauder
2020-07-03 10:41:24,7.0.0.99,1,skellige,,Tuirseach Bearmaster,Drummond Villager,Tuirseach Skirmisher,An Craite Blacksmith,Svalblod Priest,An Craite Marauder,Dimun Corsair
2020-07-03 10:40:42,7.0.0.99,1,skellige,,Armored Drakkar,Disgraced Brawler,Drummond Villager,An Craite Blacksmith,Terror Crew Plunderer,Crow Clan Preacher,Drummond Shieldmaiden
2020-07-02 23:03:50,7.0.0.99,1,skellige,,Svalblod Priest,An Craite Warcrier,Drummond Warmonger,An Craite Armorsmith,Tuirseach Axeman,An Craite Raiders,An Craite Marauder
2020-07-02 23:03:18,7.0.0.99,1,skellige,,An Craite Armorsmith,Trophy Catch,An Craite Raiders,Stunning Blow,Crow Clan Preacher,Drummond Queensguard,Tuirseach Invader
2020-07-02 23:02:50,7.0.0.99,1,skellige,,Dimun Warship,An Craite Warcrier,Mardroeme,Heymaey Skald*,Sigvald,Skjordal Drummond,Blueboy Lugos
2020-07-02 23:02:12,7.0.0.99,1,skellige,,Dimun Corsair,Mardroeme,Brokvar Hunter,Heymaey Protector,Tuirseach Bearmaster,An Craite Raiders,Drummond Shieldmaiden
2020-07-02 23:01:31,7.0.0.99,1,skellige,,An Craite Warcrier*,Trophy Catch,Boatbuilders,Tuirseach Axeman,Armored Drakkar,Dimun Warship,An Craite Raiders
2020-07-02 23:00:57,7.0.0.99,1,skellige,,Drummond Queensguard,Tuirseach Skirmisher,Drummond Berserker,Disgraced Brawler,Dimun Corsair,Svalblod Cultist,Tuirseach Veteran
2020-07-02 23:00:13,7.0.0.99,1,skellige,,Tuirseach Invader,Mardroeme,Crow's-eye Rhizome,Savage Bear,An Craite Raiders,Terror Crew Plunderer,Raging Bear
2020-07-02 22:59:24,7.0.0.99,1,skellige,,Raging Bear,Dimun Pirate,An Craite Warcrier,Brokvar Hunter,Terror Crew Plunderer,Primal Savagery,Dimun Warship
2020-07-02 22:58:50,7.0.0.99,1,skellige,,An Craite Marauder,Svalblod Butcher,Boatbuilders,Tuirseach Skirmisher,Crow Clan Druid,Drummond Shieldmaiden,Dimun Corsair
2020-07-02 22:58:18,7.0.0.99,1,skellige,,Trophy Catch,Disgraced Brawler,An Craite Armorsmith,Primal Savagery,Tuirseach Invader,Svalblod Priest,Tuirseach Veteran
2020-07-02 22:57:41,7.0.0.99,1,skellige,,An Craite Greatsword,Boatbuilders,Terror Crew Axe-wielder,Stunning Blow,Svalblod Cultist,An Craite Raiders,Tuirseach Veteran
2020-07-02 22:57:04,7.0.0.99,1,skellige,,Raging Bear,Drummond Villager,Savage Bear,Terror Crew Axe-wielder,Crow Clan Druid,Terror Crew Plunderer,Svalblod Priest
2020-07-02 22:56:35,7.0.0.99,1,skellige,,An Craite Greatsword,Brokvar Hunter,Crow Messenger,Mardroeme,Raging Bear,Dimun Corsair,Tuirseach Bearmaster
2020-07-02 22:56:00,7.0.0.99,1,skellige,,Svalblod Priest,Stunning Blow,Crow Messenger,Tuirseach Skirmisher,Tuirseach Bearmaster,An Craite Marauder,Drummond Queensguard
2020-07-02 22:54:59,7.0.0.99,1,skellige,,Dimun Warship,Stunning Blow,Svalblod Fanatic,Mardroeme,Tuirseach Invader,Armored Drakkar,Terror Crew Plunderer
2020-07-02 22:54:13,7.0.0.99,1,skellige,,Tuirseach Veteran,Heymaey Skald,An Craite Blacksmith,An Craite Armorsmith,Svalblod Priest,Svalblod Cultist,Drummond Queensguard
2020-07-02 22:53:37,7.0.0.99,1,skellige,,Drummond Shieldmaiden,Boatbuilders,Tuirseach Skirmisher,Disgraced Brawler,Raiding Fleet,Champion's Charge,Yoana
2020-07-02 22:51:46,7.0.0.99,1,skellige,,War of Clans,An Craite Armorsmith,Heymaey Protector,Crow's-eye Rhizome,Tuirseach Veteran,Tuirseach Invader,Dimun Warship
2020-07-02 22:50:20,7.0.0.99,1,skellige,,Drummond Shieldmaiden,Savage Bear,Boatbuilders,Heymaey Skald,Armored Drakkar,Dimun Warship,Dimun Corsair
2020-07-02 22:49:41,7.0.0.99,1,skellige,,An Craite Armorsmith,Crow's-eye Rhizome,Stunning Blow,Olaf,Crow Clan Preacher,Drummond Queensguard,Armored Drakkar
2020-07-02 22:48:35,7.0.0.99,1,skellige,,Drummond Queensguard,An Craite Warrior,Dimun Pirate,Svalblod Ravager,Terror Crew Plunderer,Tuirseach Invader,Dimun Corsair
2020-07-02 22:47:55,7.0.0.99,1,skellige,,An Craite Blacksmith,Svalblod Ravager,Terror Crew Axe-wielder,Dimun Corsair,Tuirseach Bearmaster,Drummond Shieldmaiden,Svalblod Priest
2020-07-02 22:47:02,7.0.0.99,1,skellige,,Svalblod Cultist,An Craite Blacksmith,Disgraced Brawler,Drummond Berserker,Crow Clan Preacher,Tuirseach Veteran,Drummond Shieldmaiden
2020-07-02 22:46:22,7.0.0.99,1,skellige,,Mardroeme,Svalblod Butcher,Heymaey Protector,Dimun Warship,Terror Crew Plunderer,Tuirseach Axeman,Crow Clan Druid
2020-07-02 22:45:39,7.0.0.99,1,skellige,,Drummond Shieldmaiden,An Craite Warrior,Drummond Warmonger,An Craite Armorsmith,Tuirseach Invader,Raging Bear,Drummond Queensguard
2020-07-02 22:44:55,7.0.0.99,1,skellige,,Crow Clan Druid,Svalblod Butcher,Stunning Blow,Heymaey Skald,Blueboy Lugos,Draig Bon-Dhu,Harald Houndsnout
2020-07-02 22:44:13,7.0.0.99,1,skellige,,An Craite Raiders,Heymaey Skald,Drummond Warmonger,Dimun Smuggler,Tuirseach Bearmaster,Armored Drakkar,Dimun Corsair
2020-07-02 22:43:10,7.0.0.99,1,base set,,Drummond Shieldmaiden,Lyrian Cavalry,Dimeritium Bomb,Mardroeme,Wyvern Scale Shield,Master of Disguise,Drummond Queensguard
2020-07-02 22:42:25,7.0.0.99,1,base set,,Alchemist,Drummond Queensguard,Farseer,Dwarven Mercenary,Waylay,Dimun Warship,Mastercrafted Spear
2020-07-01 11:11:54,7.0.0.99,1,skellige,,Primal Savagery,An Craite Blacksmith,Mardroeme,Terror Crew Axe-wielder,Gedyneith,Vabjorn,Hym
2020-07-01 11:10:38,7.0.0.99,1,skellige,,An Craite Greatsword,Trophy Catch,Dimun Smuggler,An Craite Warrior,Tuirseach Axeman,An Craite Marauder,Tuirseach Invader
2020-07-01 11:09:55,7.0.0.99,1,skellige,,An Craite Marauder,Boatbuilders,An Craite Warrior,Heymaey Protector,Dimun Warship,Tuirseach Invader,Tuirseach Veteran
2020-07-01 11:08:38,7.0.0.99,1,skellige,,Svalblod Cultist,An Craite Warcrier,Brokvar Hunter,Dimun Smuggler,An Craite Greatsword,Crow Clan Druid,Primal Savagery
2020-07-01 11:07:20,7.0.0.99,1,skellige,,Raging Bear,Trophy Catch,Heymaey Protector,Drummond Warmonger,Dimun Corsair,Tuirseach Veteran,War of Clans
2020-07-01 10:28:57,7.0.0.99,1,master mirror,,Red Riders,Angry Mob,Drummond Berserker,Drummond Villager,Herkja Drummond,Siegfried of Denesle,Urcheon of Erlenwald
2020-07-01 10:28:14,7.0.0.99,1,master mirror,,Wild Hunt Bruiser,Oakcritters,Kerack Marine,Angry Mob,Red Riders,Amnesty,Hamadryad
2020-07-01 10:27:43,7.0.0.99,1,master mirror,,Hamadryad,Kerack Cutthroat,Naglfar's Taskmaster,Angry Mob,Wild Hunt Bruiser,Kerack City Guard,War of Clans
2020-07-01 10:27:11,7.0.0.99,1,master mirror,,Circle of Life,Mutants Maker,Oakcritters,Aen Elle Conqueror,Pact,Lonely Champion,Hamadryad
2020-07-01 10:26:37,7.0.0.99,1,master mirror,,Mage Torturer,Drummond Villager,Fortune Teller,Oakcritters,Duén Canell Guardian,Squirrel,An Craite Raiders
