date,patch,prestige,keg_type,event,card1,card2,card3,card4,picked_card,unpicked_card1,unpicked_card2
2019-07-13 20:22:16,3.0.1.92,1,novigrad,,Crownsplitter Thug,Firesworn Scribe,Arena Endrega,Congregation,Tax Collector,Fisstech Trafficker,Eternal Fire Inquisitor
2019-07-13 20:21:39,3.0.1.92,1,novigrad,,Blindeye Apothecary,Firesworn Scribe,Congregation,Fence,Renegade Mage,Eternal Fire Disciple,Eternal Fire Inquisitor
2019-07-13 20:20:16,3.0.1.92,1,novigrad,,Keeper of the Flame,Bloody Good Fun,Congregation,Arena Endrega,Ewald Borsodi,Wheel of Fortune*,Damnation
2019-07-13 20:19:04,3.0.1.92,1,novigrad,,Eternal Fire Inquisitor,Back-Alley Chemist,Eavesdrop,Swindle,Sewer Raiders,Sly Seductress,Witch Hunter Executioner
2019-07-13 20:18:19,3.0.1.92,1,novigrad,,Beggar,Swindle,Blindeye Apothecary,Firesworn Scribe,Cleaver's Muscle,Eternal Fire Disciple,Eternal Fire Priest
2019-07-13 20:15:54,3.0.1.92,1,crimson curse,,Samum,Bruxa,Cintrian Envoy,Tempest,Artorius Vigo,Windhalm of Attre,Musicians of Blaviken
2019-07-13 20:15:04,3.0.1.92,1,crimson curse,,Feast of Blood,Traveling Merchant,Dancing Star,Svalblod Butcher,Queen of the Night,Tempest,Artorius Vigo
2019-07-13 20:14:13,3.0.1.92,1,crimson curse,,Cintrian Knight,Sandstorm,Dryad Grovekeeper,Cintrian Spellweaver,Cintrian Artificer,Watchman,Fleder
2019-07-13 20:13:23,3.0.1.92,1,crimson curse,,Imperial Diviner,Inspirational Ballad,Dryad Grovekeeper,Menagerie Keeper,Toussaint Knight-Errant,Fleder,Watchman
2019-07-13 20:12:32,3.0.1.92,1,crimson curse,,Brokilon Sentinel,Red Haze,Fangs of the Empire,Svalblod Ravager,Dryad Matron*,Cintrian Knight,Toussaint Knight-Errant
2019-07-13 20:11:26,3.0.1.92,1,base set,,Tuirseach Veteran,Werewolf,Slave Driver,Slave Hunter,Experimental Remedy*,Aretuza Adept,An Craite Greatsword
2019-07-13 20:10:46,3.0.1.92,1,base set,,Biting Frost,Alchemist,Deithwen Arbalest,Infiltrator,Vrihedd Brigade,Foglet,An Craite Marauder
2019-07-13 20:10:09,3.0.1.92,1,base set,,Scoia'tael Neophyte,Panther,Dol Blathanna Archer,Siege Master,Dragon's Dream*,Malena,Assire var Anahid
2019-07-13 20:09:21,3.0.1.92,1,base set,,Scout,Tuirseach Bearmaster,Forktail,Brokvar Hunter,Summoning Circle,False Ciri,Barclay Els
2019-07-13 20:08:33,3.0.1.92,1,base set,,Vrihedd Sappers,Stammelford's Tremors,Alchemist,Mangonel,Lyrian Landsknecht,Raging Bear,Vicovaro Novice
2019-07-13 20:06:42,3.0.1.92,1,novigrad,,Kikimore Warrior,Townsfolk,Sea Jackal,Line of Credit,Harald Gord,Tunnel Drill,Kurt
2019-07-13 20:05:12,3.0.1.92,1,novigrad,,Sly Seductress,Slander,Shakedown,Payday,Fisstech Trafficker,Tidecloak Hideaway,Kikimore Warrior
2019-07-13 20:04:14,3.0.1.92,1,novigrad,,Tidecloak Ransackers,Back-Alley Chemist,Swindle,Beggar,Tavern Brawl,Wheel of Fortune,Sir Skewertooth
2019-07-13 20:03:22,3.0.1.92,1,novigrad,,Oxenfurt Naturalist,Courier,Casino Bouncers,Back-Alley Chemist,Sir Skewertooth,Caesar Bilzen,Hammond
2019-07-13 20:01:25,3.0.1.92,1,novigrad,,Sewer Raiders,Back-Alley Chemist,Bloody Good Fun,Eavesdrop,Eternal Fire Disciple,Fisstech Trafficker,Crownsplitter Thug
2019-07-13 19:59:43,3.0.1.92,1,crimson curse,,Pellar,Svalblod Butcher,Cintrian Royal Guard,Fangs of the Empire,Watchman*,Cintrian Artificer,Dryad Matron
2019-07-13 19:58:54,3.0.1.92,1,crimson curse,,Disgraced Brawler,Dryad Fledgling,Pellar,Cintrian Spellweaver,Cintrian Knight,Traveling Merchant,Bruxa
2019-07-13 19:58:08,3.0.1.92,1,crimson curse,,Watchman,Alp,Menagerie Keeper,Dryad's Caress,Imperial Diviner*,Bruxa,Dryad Matron
2019-07-13 19:56:29,3.0.1.92,1,crimson curse,,Brokilon Sentinel,Disgraced Brawler,Feast of Blood,Cintrian Spellweaver,Primal Savagery,Forest Whisperer,Spring Equinox
2019-07-13 19:54:13,3.0.1.92,1,crimson curse,,Tourney Joust,Dryad Grovekeeper,Traveling Merchant,Undying Thirst,Weeping Willow,Scepter of Storms,Gael
2019-07-13 19:52:39,3.0.1.92,1,base set,,Tuirseach Bearmaster,Combat Engineer,Mahakam Guard,Standard Bearer,Experimental Remedy,Waylay,Dimun Corsair
2019-07-13 19:51:56,3.0.1.92,1,base set,,Imperial Diplomacy,Vran Warrior,Petri's Philter,Heymaey Protector,Forbidden Magic,Harpy Egg,Tuirseach Bearmaster
2019-07-13 19:51:04,3.0.1.92,1,base set,,Blue Stripes Scout,Spores,Bridge Troll,Arachas Venom*,Daerlan Soldier,Mastercrafted Spear,Rivian Pikeman
2019-07-13 19:50:10,3.0.1.92,1,base set,,Swallow,Jutta an Dimun,Lyrian Scytheman,Crushing Trap,Imperial Diplomacy,Ancient Foglet,Dimun Corsair
2019-07-13 19:49:21,3.0.1.92,1,base set,,Mahakam Guard,Dimun Corsair,Vran Warrior,Temerian Infantry,Slyzard,Forbidden Magic,Drummond Queensguard
2019-07-13 19:48:38,3.0.1.92,1,base set,,Elven Scout,Slave Driver,Ban Ard Tutor,Crushing Trap,Elven Swordmaster,Ice Troll,Vicovaro Novice
2019-07-13 19:47:48,3.0.1.92,1,base set,,Aretuza Adept,Predatory Dive,Hawker Support,Poor Fucking Infantry,Elven Swordmaster,Assassination,Blue Stripes Scout
2019-07-13 19:47:01,3.0.1.92,1,base set,,Wyvern Scale Shield,Trebuchet,Half-Elf Hunter,Slave Driver,Drummond Queensguard,Impenetrable Fog,Crushing Trap
2019-07-13 19:46:16,3.0.1.92,1,base set,,Assassination,Pyrotechnician,Farseer,Dimeritium Bomb,Peter Saar Gwynleve,Colossal Ifrit,Serpent Trap
2019-07-13 19:45:28,3.0.1.92,1,base set,,Tuirseach Skirmisher,Pyrotechnician,Werewolf,Cursed Knight,Drummond Queensguard,Biting Frost,Dol Blathanna Bowman
2019-07-13 15:32:25,3.0.1.92,1,premium base set,,An Craite Greatsword*,Deithwen Arbalest*,Temerian Infantry*,Vran Warrior*,Tuirseach Veteran*,Waylay*,Aedirnian Mauler*
2019-07-13 15:31:28,3.0.1.92,1,premium base set,,Emissary*,Vran Warrior*,Alchemist*,Wild Hunt Rider*,Cursed Knight*,Vicovaro Novice*,Impenetrable Fog*
2019-07-13 15:30:25,3.0.1.92,1,premium base set,,Slave Hunter*,Mahakam Marauder*,Mastercrafted Spear*,Pyrotechnician*,Forbidden Magic*,Slyzard*,Incinerating Trap*
2019-07-13 15:29:14,3.0.1.92,1,premium base set,,Mahakam Ale*,Winch*,Petri's Philter*,Slave Driver*,Vicovaro Novice*,Biting Frost*,Tuirseach Veteran*
2019-07-13 15:27:52,3.0.1.92,1,premium base set,,Frightener: Dormant*,Dol Blathanna Sentry*,Temerian Infantry*,Dol Blathanna Archer*,Blue Stripes Commando*,Nauzicaa Brigade*,Raging Bear*
2019-07-13 15:25:41,3.0.1.92,1,premium base set,,Raging Bear*,Werewolf*,Lyrian Arbalest*,Elven Wardancer*,Dwarven Agitator*,Experimental Remedy*,Tuirseach Veteran*
2019-07-13 15:23:14,3.0.1.92,1,premium base set,,Assassination*,Nekker Warrior*,Dol Blathanna Sentry*,Vran Warrior*,Nilfgaardian Knight*,Golden Froth*,Battering Ram*
2019-07-13 15:20:31,3.0.1.92,1,premium base set,,Tuirseach Bearmaster*,Fire Scorpion*,Ointment*,Poor Fucking Infantry*,Schirrú*,Ermion*,Falibor*
2019-07-13 15:18:30,3.0.1.92,1,novigrad,,Kikimore Warrior,Swindle,Cutup Lackey,Arena Endrega,Witch Hunter Executioner,Fisstech Trafficker,Tidecloak Ransackers
2019-07-13 15:16:42,3.0.1.92,1,crimson curse,,Svalblod Cultist,Dryad's Caress,Samum,Dryad Grovekeeper,Svalblod Priest,Oxenfurt Scholar,Forest Whisperer
2019-07-13 15:15:08,3.0.1.92,1,monster,,Bruxa,Wyvern,Forktail,Plumard,Harpy Egg,Celaeno Harpy,Fleder
2019-07-13 15:14:22,3.0.1.92,1,monster,,Ice Troll,Cockatrice,Bridge Troll,Siren,Celaeno Harpy,Hideous Feast,Foglet
2019-07-13 15:13:03,3.0.1.92,1,monster,,Vran Warrior,Wyvern,Barbegazi,Arachas Nest,Fleder,Ice Troll,Harpy Egg
2019-07-13 15:10:55,3.0.1.92,1,base set,,Vrihedd Brigade,Heymaey Protector,Mardroeme,Mahakam Ale,Dol Blathanna Bowman,Cyclops,Rivian Pikeman
2018-11-16 18:06:22,1.0.0.15,0,base set,,Slave Hunter,Trophy Catch,Predatory Dive,Tridam Infantry,Foglet,Biting Frost,Battering Ram
2018-11-16 18:04:41,1.0.0.15,0,base set,,Combat Engineer,Nauzicaa Sergeant,Poor Fucking Infantry,Venendal Elite,Ancient Foglet,Impenetrable Fog,Daerlan Soldier
2018-11-16 17:57:01,1.0.0.15,0,base set,,Wyvern,Heymaey Protector,Ointment,Field Medic,An Craite Longship,Blue Stripes Scout,Impenetrable Fog
